fips,pop2008,pop2017,pop2019,pop2023,rucc,metro
01001,53277.0,55390.0,55869.0,60342.0,2.0,1.0
01003,175827.0,212521.0,223234.0,253507.0,3.0,1.0
01005,27808.0,25157.0,24686.0,24585.0,6.0,0.0
01007,22705.0,22550.0,22394.0,21868.0,1.0,1.0
01009,57055.0,57787.0,57826.0,59816.0,1.0,1.0
01011,10953.0,10176.0,10101.0,9897.0,6.0,0.0
01013,20949.0,19888.0,19448.0,18382.0,6.0,0.0
01015,117274.0,114710.0,113605.0,116429.0,3.0,1.0
01017,34563.0,33707.0,33254.0,34079.0,6.0,0.0
01019,25636.0,25805.0,26196.0,25666.0,6.0,0.0
01021,43239.0,44120.0,44428.0,46431.0,1.0,1.0
01023,14114.0,12925.0,12589.0,12252.0,9.0,0.0
01025,26283.0,24063.0,23622.0,22337.0,7.0,0.0
01027,14161.0,13350.0,13235.0,14111.0,9.0,0.0
01029,14874.0,14899.0,14910.0,15639.0,8.0,0.0
01031,48516.0,51853.0,52342.0,55643.0,4.0,0.0
01033,54473.0,54695.0,55241.0,58361.0,3.0,1.0
01035,13388.0,12431.0,12067.0,11174.0,7.0,0.0
01037,11493.0,10724.0,10663.0,10268.0,8.0,0.0
01039,37545.0,37062.0,37049.0,37952.0,6.0,0.0
01041,13922.0,13858.0,13772.0,13101.0,8.0,0.0
01043,80273.0,82867.0,83768.0,92016.0,4.0,0.0
01045,49871.0,49342.0,49172.0,49871.0,4.0,0.0
01047,44265.0,39238.0,37196.0,36165.0,4.0,0.0
01049,70228.0,71437.0,71513.0,72569.0,6.0,0.0
01051,77698.0,81422.0,81209.0,90441.0,2.0,1.0
01053,37929.0,36993.0,36633.0,36558.0,6.0,0.0
01055,104206.0,103007.0,102268.0,103241.0,3.0,1.0
01057,17541.0,16466.0,16302.0,15967.0,6.0,0.0
01059,31459.0,31542.0,31362.0,31802.0,6.0,0.0
01061,26646.0,26385.0,26271.0,26988.0,3.0,1.0
01063,9359.0,8310.0,8111.0,7341.0,8.0,0.0
01065,16260.0,14801.0,14651.0,14888.0,3.0,1.0
01067,17129.0,17115.0,17205.0,17899.0,3.0,1.0
01069,99183.0,104378.0,105882.0,108462.0,3.0,1.0
01071,53525.0,51828.0,51626.0,53467.0,6.0,0.0
01073,656510.0,659599.0,658573.0,662895.0,1.0,1.0
01075,14799.0,13882.0,13805.0,13661.0,8.0,0.0
01077,92202.0,92564.0,92729.0,96814.0,3.0,1.0
01079,34196.0,33063.0,32924.0,33502.0,3.0,1.0
01081,134524.0,161440.0,164542.0,183215.0,3.0,1.0
01083,78835.0,94130.0,98915.0,114654.0,2.0,1.0
01085,11813.0,10097.0,9726.0,9717.0,2.0,1.0
01087,21597.0,18793.0,18068.0,18370.0,6.0,0.0
01089,323526.0,361762.0,372909.0,412600.0,2.0,1.0
01091,21331.0,19396.0,18863.0,18684.0,7.0,0.0
01093,30918.0,29792.0,29709.0,29244.0,7.0,0.0
01095,91072.0,95572.0,96774.0,100756.0,4.0,0.0
01097,409196.0,414045.0,413210.0,411640.0,2.0,1.0
01099,23393.0,21290.0,20733.0,19229.0,7.0,0.0
01101,227461.0,227265.0,226486.0,224980.0,2.0,1.0
01103,117694.0,118918.0,119679.0,125133.0,3.0,1.0
01105,10722.0,9302.0,8923.0,7738.0,8.0,0.0
01107,19951.0,20204.0,19930.0,18688.0,3.0,1.0
01109,32149.0,33349.0,33114.0,33137.0,6.0,0.0
01111,22946.0,22687.0,22722.0,22786.0,6.0,0.0
01113,51434.0,56985.0,57961.0,58744.0,2.0,1.0
01115,81223.0,87926.0,89512.0,95552.0,1.0,1.0
01117,188534.0,213633.0,217702.0,233000.0,1.0,1.0
01119,13882.0,12749.0,12427.0,11727.0,8.0,0.0
01121,82735.0,80142.0,79978.0,81132.0,4.0,0.0
01123,41668.0,40613.0,40367.0,40677.0,6.0,0.0
01125,188093.0,207618.0,209355.0,237373.0,3.0,1.0
01127,67835.0,63895.0,63521.0,64728.0,1.0,1.0
01129,17496.0,16522.0,16326.0,15022.0,8.0,0.0
01131,12148.0,10691.0,10373.0,9944.0,9.0,0.0
01133,24696.0,23760.0,23629.0,23611.0,6.0,0.0
02013,2991.0,3455.0,3337.0,3461.0,9.0,0.0
02016,5393.0,5729.0,5634.0,5160.0,9.0,0.0
02020,281554.0,294338.0,288000.0,286075.0,2.0,1.0
02050,16762.0,18090.0,18386.0,18224.0,7.0,0.0
02060,1040.0,869.0,836.0,844.0,9.0,0.0
02063,,,,6769.0,,
02066,,,,2674.0,,
02068,1803.0,2084.0,2097.0,1584.0,8.0,0.0
02070,4769.0,4940.0,4916.0,4607.0,9.0,0.0
02090,94552.0,99675.0,96849.0,94840.0,3.0,1.0
02100,2404.0,2524.0,2530.0,2070.0,9.0,0.0
02105,2225.0,2139.0,2148.0,2262.0,9.0,0.0
02110,31110.0,32098.0,31974.0,31555.0,5.0,0.0
02122,53655.0,58558.0,58708.0,61223.0,7.0,0.0
02130,13326.0,13834.0,13901.0,13738.0,7.0,0.0
02150,13262.0,13512.0,12998.0,12565.0,7.0,0.0
02158,,8236.0,8314.0,8001.0,,
02164,1606.0,1612.0,1592.0,1331.0,9.0,0.0
02170,84079.0,106232.0,108317.0,115239.0,2.0,1.0
02180,9231.0,10025.0,10004.0,9763.0,7.0,0.0
02185,8841.0,9795.0,9832.0,10603.0,7.0,0.0
02188,7466.0,7795.0,7621.0,7361.0,7.0,0.0
02195,3817.0,3264.0,3266.0,3427.0,9.0,0.0
02198,5448.0,6444.0,6203.0,5696.0,9.0,0.0
02220,8835.0,8641.0,8493.0,8282.0,7.0,0.0
