fips,group,estab_2008,estab_2017,estab_2019,estab_2023,emp_2008,emp_2017,emp_2019,emp_2023,bb200_2008,bb200_2019,bb200_2023,bb10_2008,bb10_2019,bb10_2023,acs_2017,acs_2023
01001,all,30.0,28.0,24.0,29.0,224.0,251.0,238.0,329.0,4.0,4.0,5.0,1.0,4.0,5.0,0.6033532820366676,0.726457399103139
01003,all,222.0,236.0,236.0,248.0,2217.0,2719.0,2570.0,2926.0,4.0,4.0,4.0,1.0,3.0,4.0,0.577029671758633,0.6926311785465227
01005,all,20.0,14.0,10.0,8.0,103.0,121.0,70.0,42.0,2.0,3.0,4.0,1.0,2.0,3.0,0.38048090523338046,0.4343612334801762
01007,all,15.0,14.0,14.0,15.0,72.0,90.0,100.0,157.0,3.0,3.0,3.0,0.0,2.0,3.0,0.324465008675535,0.42121252146347904
01009,all,42.0,42.0,36.0,36.0,299.0,404.0,383.0,451.0,3.0,3.0,4.0,1.0,2.0,3.0,0.4969550507491542,0.5346043591026983
01011,all,5.0,6.0,5.0,3.0,0.0,19.0,18.0,16.0,2.0,2.0,3.0,0.0,2.0,3.0,0.3111716621253406,0.4456993918331885
01013,all,14.0,15.0,17.0,14.0,68.0,77.0,86.0,59.0,2.0,3.0,4.0,1.0,2.0,4.0,0.4493617021276596,0.5316717157807767
01015,all,106.0,101.0,99.0,92.0,1909.0,2202.0,2154.0,1377.0,3.0,3.0,4.0,1.0,3.0,4.0,0.5564203197410142,0.6354127423822715
01017,all,16.0,12.0,14.0,16.0,112.0,116.0,123.0,144.0,2.0,3.0,4.0,1.0,3.0,4.0,0.45487074631225355,0.6183769282360831
01019,all,15.0,16.0,14.0,14.0,85.0,111.0,145.0,127.0,1.0,2.0,4.0,1.0,2.0,3.0,0.431959240389069,0.4739906461773408
01021,all,28.0,25.0,26.0,28.0,341.0,359.0,484.0,428.0,2.0,3.0,4.0,1.0,2.0,4.0,0.35591603053435117,0.5190839694656488
01023,all,14.0,5.0,5.0,4.0,95.0,38.0,37.0,40.0,2.0,2.0,3.0,1.0,1.0,2.0,0.37891268533772654,0.3917665249323541
01025,all,15.0,18.0,17.0,17.0,200.0,160.0,157.0,259.0,2.0,3.0,3.0,1.0,2.0,3.0,0.3138929389710477,0.3835778513961193
01027,all,5.0,,3.0,,61.0,,21.0,,2.0,3.0,3.0,1.0,2.0,3.0,0.43162233046084675,0.5025151777970511
01029,all,8.0,7.0,5.0,5.0,20.0,33.0,43.0,47.0,2.0,2.0,3.0,1.0,2.0,2.0,0.3438420232115018,0.38006496837066167
01031,all,25.0,28.0,33.0,27.0,0.0,444.0,418.0,475.0,3.0,4.0,4.0,1.0,3.0,4.0,0.5912334352701325,0.6640460210930009
01033,all,88.0,81.0,74.0,78.0,966.0,871.0,718.0,803.0,3.0,3.0,4.0,1.0,3.0,4.0,0.46690624573534095,0.5673287360118925
01035,all,8.0,6.0,7.0,7.0,202.0,280.0,300.0,84.0,1.0,2.0,3.0,1.0,2.0,2.0,0.22582697201017812,0.2325530035335689
01037,all,6.0,4.0,4.0,4.0,0.0,22.0,24.0,51.0,1.0,3.0,4.0,1.0,2.0,4.0,0.34443387250237867,0.4855986669840514
01039,all,43.0,34.0,32.0,33.0,571.0,499.0,503.0,491.0,2.0,3.0,4.0,1.0,3.0,4.0,0.44586195616617597,0.49830976198689203
01041,all,14.0,12.0,12.0,10.0,355.0,611.0,538.0,231.0,2.0,3.0,3.0,1.0,2.0,3.0,0.40444195595371407,0.44807881773399016
